cantor,code,titulo,inicio da letra,p
Amuro Namie,18536,FIGHT TOGETHER,Yoga akeru mae ni tabidato mada minu,JP8A
Amuro Namie ,18620,HERO,I'll be your hero I'll be your hero,JP8C
Amy Grant,19384,I'LL BE HOME FOR CHRISTMAS,I'm dreaming tonight of a place I love,INT07B
Amy Lee,19762,DREAM TOO MUCH,There's a monkey in the band,INT09D
Amy Winehouse,5959,REHAB,They tried to make me go to rehab,"INT03, USA3D"
Amy Winehouse,5985,TEARS DRY ON THEIR OWN,All I can ever be to you,"INT03, USA3D"
Amy Winehouse,2541,BACK TO BLACK,He left no time to regret,INT04B
Amy Winehouse,2546,LOVE IS A LOSING GAME,For you I was the flame,INT04B
Amy Winehouse,2550,YOU KNOW I'M NO GOOD,Meet you downstairs in the bar and heard,INT04B
Amy Winehouse,19596,VALERIE,Well sometimes I go out by myself,INT08C
An Cafe,18425,NATSU KOI NATSU GAME,Ageru kisetsuga yahte kita karadajuh ga,JP7B
An Ri,2379,OLIVIA O KIKINAGARA,Oki ni iri no uta hitori kiite miru no,JP5E
Ana Canãs,1552,ESCONDERIJO,Procuro a solidão como o ar procura,18B
Ana Cañas,1981,A ANA,Ahn ahn ahn ahn,21A
Ana Cañas,15272,SERÁ QUE VOCÊ ME AMA?,Tudo do avesso tudo certo tudo no começo,24C
Ana Cañas,15885,TE VER FELIZ,Na nara na... Eu não tenho uma letra ,28C
Ana Carolina,7348,ELEVADOR (LIVRO DE ESQUECIMENTO),Pra que te espero de braços abertos,10C
Ana Carolina,7629,MAIS QUE ISSO,Eu não vou gostar de você,11D
Ana Carolina,7694,ROSAS,Você pode me ver do jeito que quiser,11E
Ana Carolina,7891,A CANÇÃO TOCOU NA HORA ERRADA,A canção tocou na hora errada,12A
Ana Carolina,7975,HOJE EU TÔ SOZINHA,Hoje eu tô sozinha e não aceito cons,12A
Ana Carolina,7921,CARVÃO,Surgiu como um clarão,12D
Ana Carolina,7932,CONFESSO,Confesso acordei achando tudo indife,12D
Ana Carolina,9334,RUAS DE OUTONO,Nas ruas de outono,12E
Ana Carolina,9488,NADA PRA MIM,Eu não vim aqui pra entender ou expli,13B
Ana Carolina,9393,AQUI,Aqui,13C
Ana Carolina,9443,É MÁGOA,É mágoa,13D
Ana Carolina,9521,QUE SE DANEM OS NÓS,Vim gastando meus sapatos,13D
Ana Carolina,9676,EU QUE NÃO SEI QUASE NADA DO MAR,Garimpeira da beleza,14B
Ana Carolina,9898,TOLERÂNCIA,Como água no deserto,14D
Ana Carolina,1179,VAI,Espera aí,16A
Ana Carolina,1481,10 MINUTOS,Por que você não atende as minhas,18A
Ana Carolina,1654,DOIS BICUDOS,Quando te vi andava tão desprevenido,19A
Ana Carolina,2739,PROBLEMAS,Qualquer distância entre nós,21C
Ana Carolina,2818,"TÁ RINDO, É?",Ah hoje eu quebrei o meu despertador,22A
Ana Carolina,2931,SIMPLESMENTE ACONTECEU,Simplesmente aconteceu,22D
Ana Carolina,15288,COMBUSTÍVEL,Fiz de você meu combustível meu ,24D
Ana Carolina,15701,LIBIDO,No anúncio da revista ou na obra de arte,27B
Ana Carolina,16025,COISAS,O meu corpo me deixa confusa quando o seu olhar,29B
Ana Carolina,16544,NÃO TEM NO MAPA,Às vezes eu me chamo por aí,32C
Ana Carolina,4316,GARGANTA,Minha garganta estranha quando não te,4B
Ana Carolina,6109,QUEM DE NÓS DOIS,Eu e você não é assim tão complicado...,5A
Ana Carolina,6413,ELA É BAMBA,Ela é bamba ela é bamba ela é bamba…,6A
Ana Carolina,6694,ENCOSTAR NA TUA,Eu quero te roubar pra mim...,7B
Ana Carolina,6757,UMA LOUCA TEMPESTADE,Eu quero uma Lua plena eu quero...,7C
Ana Carolina,6827,NUA,Olho a cidade ao redor e nada me,7E
Ana Carolina,6870,PRA RUA ME LEVAR,Não vou viver...,7F
Ana Carolina - Chiara,15357,UN SUEÑO BAJO EL AGUA,Fios elétricos luvas,25A
Ana Carolina e John Legend,1671,ENTREOLHARES,Se ficar assim me olhando,19A
Ana Carolina e Maria Gadú,2692,MAIS QUE A MIM,Ouvi dizer que você tá bem que já tem,21B
Ana Carolina E Seu Jorge,7114,É ISSO AÍ,É isso aí...,9E
